stimulus_id,seed,exemplar,shape_level,shape_family,appendage_level,appendage_family,appendage_count,texture_level,texture_family,colour_level,colour_name,colour_hue_deg,colour_chroma,colour_luminance_Lstar,srgb_r,srgb_g,srgb_b,srgb_relative_luminance,body_area_vector,body_perimeter_vector,body_area_pixels,object_area_pixels,body_bbox_width,body_bbox_height,object_bbox_width,object_bbox_height,svg_path,png_path,body_mask_path,object_mask_path
microbe_00046,1652741835,1,0,round,0,none,0,1,spots,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.94338405132,885.7071575713337,62665,62665,287.60223334210974,276.62339765452646,287.60223334210974,276.62339765452646,svg/microbe_00046.svg,png/microbe_00046.png,masks/body/microbe_00046.png,masks/object/microbe_00046.png
microbe_00047,686061127,2,0,round,0,none,0,1,spots,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.94338406995,884.7554788644,62670,62670,283.3294801162833,279.517534077296,283.3294801162833,279.517534077296,svg/microbe_00047.svg,png/microbe_00047.png,masks/body/microbe_00047.png,masks/object/microbe_00047.png
microbe_00048,273322418,3,0,round,0,none,0,1,spots,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.943384081125,884.987733474893,62656,62656,285.7227440524613,277.64973244165856,285.7227440524613,277.64973244165856,svg/microbe_00048.svg,png/microbe_00048.png,masks/body/microbe_00048.png,masks/object/microbe_00048.png
microbe_00049,1842205818,0,0,round,0,none,0,2,stripes,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00049.svg,png/microbe_00049.png,masks/body/microbe_00049.png,masks/object/microbe_00049.png
microbe_00050,1224245459,1,0,round,0,none,0,2,stripes,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.943384066224,885.449097667755,62686,62686,290.80804484549435,272.3377171648491,290.80804484549435,272.3377171648491,svg/microbe_00050.svg,png/microbe_00050.png,masks/body/microbe_00050.png,masks/object/microbe_00050.png
microbe_00051,371649443,2,0,round,0,none,0,2,stripes,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.94338406995,885.2770414307644,62651,62651,289.98694652106127,273.0300235886782,289.98694652106127,273.0300235886782,svg/microbe_00051.svg,png/microbe_00051.png,masks/body/microbe_00051.png,masks/object/microbe_00051.png
microbe_00052,725119916,3,0,round,0,none,0,2,stripes,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.94338406995,886.1184643404154,62667,62667,292.3165375177168,271.69198108223543,292.3165375177168,271.69198108223543,svg/microbe_00052.svg,png/microbe_00052.png,masks/body/microbe_00052.png,masks/object/microbe_00052.png
microbe_00053,1461805497,0,0,round,0,none,0,2,stripes,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00053.svg,png/microbe_00053.png,masks/body/microbe_00053.png,masks/object/microbe_00053.png
microbe_00054,1004480210,1,0,round,0,none,0,2,stripes,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.943384066224,885.6017997481953,62680,62680,291.1669298131776,272.2665354632788,291.1669298131776,272.2665354632788,svg/microbe_00054.svg,png/microbe_00054.png,masks/body/microbe_00054.png,masks/object/microbe_00054.png
microbe_00055,1901279534,2,0,round,0,none,0,2,stripes,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.943384066224,885.2361434700196,62687,62687,288.7565646669844,274.5918323203887,288.7565646669844,274.5918323203887,svg/microbe_00055.svg,png/microbe_00055.png,masks/body/microbe_00055.png,masks/object/microbe_00055.png
microbe_00056,343652681,3,0,round,0,none,0,2,stripes,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.94338405877,884.8745646458135,62655,62655,285.32770224444164,277.8086863969864,285.32770224444164,277.8086863969864,svg/microbe_00056.svg,png/microbe_00056.png,masks/body/microbe_00056.png,masks/object/microbe_00056.png
